address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
808 W Altgeld St,Chicago,3.5,5,Chicago,"Surprisingly spacious and newly renovated 5 bedroom/3.1 bath home on a tree-lined cul de sac in East Lincoln Park, in the popular Alcott School and Lincoln Park HS districts. This charming home retains many of its vintage characteristics, coupled with updated kitchen and baths. Current owners did extensive updating and reconfiguring of interior and infrastructure, particularly on the 2nd and 3rd floors. Newer chef's kitchen with Subzero, Viking and Miele appliances, stone counters and subway tile backsplash, bar area and breakfast bar. Bright adjacent family room and French doors out to the patio. 3 newly renovated bathrooms on the 2nd and 3rd floors, powder room on 1st floor. 2nd floor offers 3 large bedrooms/office options, two baths and laundry area. Plenty of room for working and studying from home on the top floor, with 2 additional bedrooms plus a large playroom or rec room that makes an ideal pandemic classroom. Huge roof deck over the 2-car garage. Enormous basement provides ample workout space plus tons of storage. Quick walk to Parson's Chicken or Las Fuentes, Equinox fitness and the new Lincoln Commons complex, the Fullerton El stop, Whole Foods, the lakefront and all Lincoln Park has to offer.",2,1275000,Single Family Home,,IL,,,,,,1886,60614
1526 N Leavitt St Unit 2,Chicago,2,2,Chicago,"New construction CONDO by reputable, longstanding, local developer in historic Wicker Park. This is an ALL BRICK building in the historic district steps from the L and the actual Wicker Park. This unit offers an open concept chef's kitchen with custom high end cabinetry boasting quartz counter tops, high-end appliances, space for entertaining and the EXCLUSIVE RIGHTS TO THE GARAGE ROOFTOP DECK! Spa-inspired bathrooms feature heated floors. Minutes to shopping, grocery, restaurants and entertainment in bustling West Town. Garage parking included! Pictures of FINISHED UNIT in building.",1,599000,Condo/Townhome/Row Home/Co-Op,,IL,,,,,,2020,60622
55 W Erie St Apt 1W,Chicago,1.5,3,Chicago,"A home like this is rarely available. You will LOVE this very spacious and tastefully updated 3 bedroom plus den condo in the Near North neighborhood. Enjoy central air-conditioning, HIGH ceilings with beautiful exposed beams, multiple wood-burning fireplaces, updated kitchen, storage space, and laundry in the basement.",,435000,Condo/Townhome/Row Home/Co-Op,1700,IL,6310,6922,7251,8476,,U,60654
728 W Jackson Blvd Apt 718,Chicago,1,1,Chicago,"Check out this stunning 1 bedroom, 1 bathroom condo in the sought after West Loop! Excellent location within walking distance to all that the neighborhood has to offer! The open concept floor plan boasts high ceilings and traditional brick and timber accents adding character. Since purchasing, the seller has added many updates including new backsplash and wooden shelves in the kitchen, recent custom window shades, a custom bedroom barn door, and a recently purchased stacked washer/dryer. The spacious kitchen and living room are flooded with natural light from a wall of huge windows. The kitchen features tons of counter space and an eat-in breakfast bar. The living room can easily fit a sectional couch and the fire place gives this charming condo an extra homey-feel. The main bedroom is generously sized for a dresser plus king sized bed and provides ample closet space, too. This well-kept building offers full amenities including 24/7 doorman, 1/2 basketball court, deck with grills, sundeck with stunning 360 views of the city, and so much more. Bike room and separate storage available. Very dog friendly building with close proximity to many parks. Also close proximity to highway, trains and the loop. Garage parking available for an additional $35K.",1,250000,Condo/Townhome/Row Home/Co-Op,,IL,3948,4315,4653,5572,,U,60661
500 N Damen Ave Apt 307,Chicago,1,1,Chicago,"Located in a boutique elevator building in popular UK Village, this newer construction 1 bedroom, 1 bath corner loft has much to offer! Expect to be impressed with its open floor plan, soaring timber ceilings & large balcony. Brand new rich Jacobean stained hardwood floors througout and freshly painted head-to-toe. The spacious kitchen is complete with sizable breakfast bar, brand new stainless steel appliances, custom cabinetry & granite counter tops. Big master bedroom and large full bath complete with spa-like bathtub. Additional details include hardwood floors throughout, big windows, in unit washer/dryer & plenty of room for dining. Great balcony off of the living room. Heated garage parking included in the price! Well run building and common roof deck with amazing city views. All of this in a great location with close proximity to downtown, transportation, nightlife, retail, parks and more!!",1,239000,Condo/Townhome/Row Home/Co-Op,900,IL,3383,3723,3812,3476,,2005,60622
2626 N Lakeview Ave Apt 2012,Chicago,2,2,Chicago,"BRIGHT AND SPACIOUS CORNER UNIT THAT HAS BEEN COMPLETELY UPDATED. THIS LARGE TWO BEDROOM TWO BATH HOME FEATURES VIEWS FROM EVERY WINDOW. NEWLY REMODELED KITCHEN FEATURES STONE COUNTERTOPS, CUSTOM BACKSPLASH AND STAINLESS STEEL APPLIANCES. SWEEPING LIVING ROOM WITH SEPARATE DINING ROOM OVER LOOKS THE PARK AND LAKE. LARGE PRIMARY BEDROOM WITH NEW BATH AND LARGE WALK IN CLOSET. SECOND BEDROOM AND BATH PERFECT FOR GUESTS OR HOME OFFICE. NEW HARDWOOD FLOORS THROUGHOUT. BUILDING FEATURES 24 HOUR DOOR STAFF, POOL, ROOF DECK WITH GRILLS, EXERCISE ROOM, DRY CLEANERS AND MORE. HEALTHY BUILDING WITH STRONG RESERVES.",1,424900,Condo/Townhome/Row Home/Co-Op,1250,IL,5315,5810,6244,6312,,1968,60614
2106 N California Ave Unit 1,Chicago,2,3,Chicago,"Take a 3D Tour, CLICK on the 3D BUTTON & Walk Around. Watch a Custom Drone Video Tour, Click on Video Button! This stunning and sun filled 3 bed/ 2 bath corner-end unit townhome is perfectly situated in an amazing Logan Square location! Hardwood floors, high ceilings, and top-of-the-line finishes flow throughout. The spacious chef's kitchen includes tons of storage space, wood cabinetry, stainless steel appliances, and sunny island with breakfast bar. The open concept living/dining features a cozy gas fireplace and is the perfect spot to entertain. There is also a full bathroom right off the main living level. Retreat to the master suite with ample storage space and en-suite bath. The 3rd floor includes incredible flex space great for a 3rd bedroom, office, or recreation room and provides easy access to the private rooftop deck with sweeping skyline views! Full laundry room on level of bedrooms in unit, one space in an attached garage, and plenty of updates throughout including new roof, mechanicals, paint, and more! Amazing location just steps to Palmer Sq, the Blue Line, restaurants, parks, 606 trail, and more!",1,475000,Condo/Townhome/Row Home/Co-Op,1366,IL,6884,7024,7360,8200,,2004,60647
844 W Roscoe St Apt 1E,Chicago,3,4,Chicago,"Don't miss this amazing opportunity to live in this gorgeous all masonry construction extra wide 4 bedroom duplex down in the heart of Lakeview with an attached garage and radiant heated lower level. Beautifully upgraded throughout, this jumbo duplex lives like a single family home featuring modern high end finishes w/ebony hardwood floors, 2 fireplaces w/gas starters, beautiful millwork & custom steel staircase. Stunning chef's kitchen w/Linnea Quattro cabinets, 2 flamed granite counters, Calcutta slab backsplash & top of the line stainless steel appliances including Thermador double ovens, Sub Zero, Dacor & Bosch. Main floor master suite w/large walk-in closet, marble spa bath w/sep jacuzzi tub, steam shower & double vanity. Additional bedroom/den with french doors is located on main level. Amazing lower level with radiant heated polished concrete floors offers a large family room with wet bar, custom built-ins & gas fireplace. Two additional good sized bedrooms and beautiful marble bath. One car attached garage. Great outdoor space with a semi-private deck over garage. Superb location walking distance to Wrigley Field, shopping, restaurants, & transportation. Nettelhorst school district.",1,759000,Condo/Townhome/Row Home/Co-Op,,IL,9648,10571,11172,12264,,2007,60657
2630 N Mildred Ave Apt 2,Chicago,2,2,Chicago,"Welcome home to this wonderfully updated 2 bedroom condo in Lincoln Park. This condo pours in an abundance of natural light with big windows and tall ceilings. Your beautiful new home has a living dining which flows into the updated massive kitchen. The master suite features great closet space, a roomy bedroom size and an en-suite bathroom. The second bedroom size is also nice and big which has plenty of space for a proper bedroom or a BIG OFFICE. This unit comes with a garage parking space, a large outdoor deck, wood-burning fireplace, very tall ceilings, in-unit laundry and PRIVATE STORAGE. The home is VERY convenient in its proximity to parks, the lakefront, grocery stores, and public transportation(1 block from the diversey L) making it the perfect place to invite friends and family over.",1,449000,Condo/Townhome/Row Home/Co-Op,,IL,6544,7178,8252,7882,,2002,60614
4646 N Beacon St Apt G04,Chicago,2,2,Chicago,"BEAUTIFUL AND BRIGHT 2 BEDROOM 2 BATH GARDEN UNIT CONDO IN GORGEOUS BUILDING. FRESHLY PAINTED, NEW REFINISHED FLOORS AND LOTS OF SUNLIGHT. MAKE THIS YOUR NEW TURNKEY RESIDENCE. UNIT FEATURES SS APPLIANCES, GRANITE, IN UNIT WASHER/DRYER AND SHELVING SYSTEMS IN BOTH BEDROOMS. MASTER BEDROOM HAS IT'S OWN BATH. OUTSIDE TERRANCE AND ELEVATOR BUILDING. BRING OFFERS. BUILDING IS FHA APPROVED!! STOVE, REFRIGERATOR, WASHER AND DRYER 4 YEARS OLD. RENTALS ALLOWED RESERVES OVER $33, 000. NEW BRADFORD WHITE 40 GALLON WATER HEATER, NEW STOVE 2015, NEW FRIDGE AND DISHWASHER 2018. SPECIAL ASSESSMENT FOR ALL NEW WINDOWS AND EXTERIOR PATIO DOOR PAID AT CLOSING BY SELLER. CATS OK AND 2 DOG LIMIT(NO WEIGHT SIZE LIMITS). NO SMOKING IN COMMON AREAS PER HOMEOWNERS ASSOCIATION.",,259000,Condo/Townhome/Row Home/Co-Op,1100,IL,2347,3090,3322,4083,,2002,60640
1611 N Hermitage Ave Apt 404,Chicago,2,3,Chicago,"Incredibly impressive Huge Outdoor Space professionally designed & built by Chicago Green Design overlooking the Chicago Skyline!! This 3bed/2bath newer construction Penthouse Unit w/ Private Elevator & Heated Garage Parking is a must see!! 3 amazing outdoor spaces in the heart of Bucktown! Beautiful Open floor plan with amazing attention to detail. Stunning Chef's Kitchen w/ Italian Cab's, Wolf/Sub Zero SS appliances, Quartz countertops. 4 Wide Hardwood flooring throughout. European Fireplace w/ reclaimed wood. Custom Metal Staircase allowing more light. Featuring a Master Suite w/ spa like master bathroom w/ heated floors. Organized Closets throughout. Only unit w/ 3 Private Decks - 24x18 on main level, beautiful balcony off living room w/ full city skyline views, & Professionally Designed Private Rooftop Deck w/ Fully built out Kitchen w/ Cabinets, Quartz counters, grills, sink, fridge, Firepit, Dining Area, Entertainment Area w/ TV, and more stunning views of the city skyline! Electronic Smart home to control all electronics & lighting in condo. 1 Heated Garage Parking included. 1 Additional Parking Space for sale.",2,1049900,Condo/Townhome/Row Home/Co-Op,,IL,,17427,18657,17033,,2015,60622
